EEP          log10_isochrone_age_yr                    initial_mass                       star_mass                       star_mdot                    he_core_mass                     c_core_mass                           log_L                          log_LH                         log_LHe                        log_Teff                           log_R                           log_g                      surface_h1                     surface_he3                     surface_he4                     surface_c12                     surface_o16                    log_center_T                  log_center_Rho                    center_gamma                       center_h1                      center_he4                      center_c12                           phase
   83         6.0000000000000000E+000         2.6464272642920239E-001         2.6464251749300272E-001        -7.0333853932057104E-014         0.0000000000000000E+000         0.0000000000000000E+000        -5.4758688059740124E-001        -7.9881505773856878E+000        -9.8999999999999986E+001         3.5253884867696068E+000         1.9810673834419926E-001         3.4630609930990390E+000         7.1539283800005793E-001         6.6324352423688699E-005         2.7025513764707709E-001         2.4965358274984138E-003         6.1088852298866502E-003         6.1228693499792231E+000        -2.1562537868638898E-001         1.6059698379670811E-001         7.1539283800005793E-001         2.7025513764707709E-001         2.4965358274984138E-003        -1.0000000000000000E+000
   84         6.0000000000000000E+000         2.7579107134390424E-001         2.7579084986406083E-001        -7.1781755330120193E-014         0.0000000000000000E+000         0.0000000000000000E+000        -5.2740386539034345E-001        -9.0680128972435767E+000        -9.8999999999999986E+001         3.5278213850212250E+000         2.0333244944449130E-001         3.4702643618343645E+000         7.1539283800002929E-001         6.6324352611078313E-005         2.7025513764704523E-001         2.4965358274979857E-003         6.1088852298856198E-003         6.1347376465447025E+000        -2.1425073315792587E-001         1.5648353519276778E-001         7.1539283800002929E-001         2.7025513764704528E-001         2.4965358274979862E-003        -1.0000000000000000E+000
   85         6.0000000000000000E+000         2.8491891646130352E-001         2.8491868454067804E-001        -7.2577528773225488E-014         0.0000000000000000E+000         0.0000000000000000E+000        -5.1061959275542979E-001        -9.6510771741424097E+000        -9.8999999999999972E+001         3.5297915140280063E+000         2.0778432774838645E-001         3.4758156835005014E+000         7.1539283800005637E-001         6.6324352612697800E-005         2.7025513764701919E-001         2.4965358274976349E-003         6.1088852298847749E-003         6.1443025553331285E+000        -2.1359400914796292E-001         1.5311343923580378E-001         7.1539283800005637E-001         2.7025513764701919E-001         2.4965358274976358E-003        -1.0000000000000000E+000
   86         6.0000000000000000E+000         2.9424046944790572E-001         2.9424022671081951E-001        -7.3083716925642788E-014         0.0000000000000000E+000         0.0000000000000000E+000        -4.9324009349186654E-001        -9.5703033520302370E+000        -9.8999999999999986E+001         3.5317882174074842E+000         2.1248067062121268E-001         3.4811848366251499E+000         7.1539283800008457E-001         6.6324352613458516E-005         2.7025513764699260E-001         2.4965358274972780E-003         6.1088852298839137E-003         6.1539398680445752E+000        -2.1332590963042997E-001         1.4966975798975685E-001         7.1539283800008446E-001         2.7025513764699260E-001         2.4965358274972780E-003        -1.0000000000000000E+000
   87         6.0000000000000000E+000         3.0346455813431894E-001         3.0346430462920843E-001        -7.3759033178498949E-014         0.0000000000000000E+000         0.0000000000000000E+000        -4.7645363103634253E-001        -9.4697232991641123E+000        -9.9000000000000000E+001         3.5337223442610313E+000         2.1700564814187984E-001         3.4861894961089623E+000         7.1539283800007558E-001         6.6324352614373854E-005         2.7025513764699971E-001         2.4965358274974137E-003         6.1088852298842554E-003         6.1630426856398692E+000        -2.1327853275934505E-001         1.4647009120108861E-001         7.1539283800007569E-001         2.7025513764699971E-001         2.4965358274974142E-003        -1.0000000000000000E+000
   88         6.0000000000000000E+000         3.1046315033501604E-001         3.1046288872464645E-001        -7.4942387715849809E-014         0.0000000000000000E+000         0.0000000000000000E+000        -4.6424762360326877E-001        -9.1787438672168893E+000        -9.8999999999999986E+001         3.5351490510524166E+000         2.2025523827564680E-001         3.4896356737072924E+000         7.1539283800010989E-001         6.6324352377363505E-005         2.7025513764704029E-001         2.4965358274980356E-003         6.1088852298857750E-003         6.1694091241390563E+000        -2.1344137877234151E-001         1.4431460932769011E-001         7.1539283800010989E-001         2.7025513764704029E-001         2.4965358274980356E-003        -1.0000000000000000E+000
   89         6.0000000000000000E+000         3.1215700840531529E-001         3.1215674499347673E-001        -7.6092102473557917E-014         0.0000000000000000E+000         0.0000000000000000E+000        -4.6087918268064465E-001        -8.7360796030727563E+000        -9.9000000000000000E+001         3.5355170781623819E+000         2.2120340451702766E-001         3.4900748802968495E+000         7.1539283800005171E-001         6.6324352597295203E-005         2.7025513764702580E-001         2.4965358274978461E-003         6.1088852298853118E-003         6.1707496131636468E+000        -2.1396784351449816E-001         1.4381573350909013E-001         7.1539283800005171E-001         2.7025513764702574E-001         2.4965358274978461E-003        -1.0000000000000000E+000
   90         6.0000000000000000E+000         3.1382958259564731E-001         3.1382931732227304E-001        -7.6733685132124083E-014         0.0000000000000000E+000         0.0000000000000000E+000        -4.5782524694711690E-001        -9.0174953537110323E+000        -9.9000000000000000E+001         3.5358680047655318E+000         2.2202851917749267E-001         3.4907308431754469E+000         7.1539283800005959E-001         6.6324352617200003E-005         2.7025513764701137E-001         2.4965358274976583E-003         6.1088852298848539E-003         6.1721782006316559E+000        -2.1417404354487007E-001         1.4332292091959836E-001         7.1539283800005982E-001         2.7025513764701137E-001         2.4965358274976583E-003        -1.0000000000000000E+000
   91         6.0000000000000000E+000         3.1549022823623984E-001         3.1548996103739202E-001        -7.6949826629346878E-014         0.0000000000000000E+000         0.0000000000000000E+000        -4.5503096387141162E-001        -9.3493456579581249E+000        -9.9000000000000000E+001         3.5362060517523974E+000         2.2274956674161422E-001         3.4915784927735176E+000         7.1539283800007425E-001         6.6324352618221823E-005         2.7025513764699721E-001         2.4965358274974727E-003         6.1088852298844002E-003         6.1736902422467264E+000        -2.1409891624907063E-001         1.4283342616822814E-001         7.1539283800007425E-001         2.7025513764699721E-001         2.4965358274974727E-003        -1.0000000000000000E+000
   92         6.0000000000000000E+000         3.1713805549276558E-001         3.1713778631090039E-001        -7.6797601018350641E-014         0.0000000000000000E+000         0.0000000000000000E+000        -4.5247751607906550E-001        -9.3371846319103824E+000        -9.9000000000000000E+001         3.5365302624662096E+000         2.2337786921016259E-001         3.4925939581677792E+000         7.1539283800008913E-001         6.6324352618549442E-005         2.7025513764698300E-001         2.4965358274972875E-003         6.1088852298839483E-003         6.1752740009203757E+000        -2.1377872479471902E-001         1.4234712734932942E-001         7.1539283800008902E-001         2.7025513764698295E-001         2.4965358274972875E-003        -1.0000000000000000E+000
